Gene.Name	N	Method	Statistic.D	pvalue	Race	Condition	padj
UNC5CL	292	Hartigans' dip test for unimodality / multimodality	0.0164776410924693	0.8994	black or african american	GTEX	1
UNC5D	292	Hartigans' dip test for unimodality / multimodality	0.0454328074287882	2e-04	black or african american	GTEX	0.002799692544196772
UNC13A	292	Hartigans' dip test for unimodality / multimodality	0.0228149723460031	0.3760	black or african american	GTEX	1
UNC13B	292	Hartigans' dip test for unimodality / multimodality	0.0154107020725988	0.9503	black or african american	GTEX	1
UNC13C	292	Hartigans' dip test for unimodality / multimodality	0.0431733064594753	5e-04	black or african american	GTEX	0.0062284541723666206
UNC13D	292	Hartigans' dip test for unimodality / multimodality	0.0138033323221124	0.9890	black or african american	GTEX	1
UNC45A	292	Hartigans' dip test for unimodality / multimodality	0.018187801758526	0.7761	black or african american	GTEX	1
UNC45B	292	Hartigans' dip test for unimodality / multimodality	0.0256849315068493	0.1978	black or african american	GTEX	1
UNC50	292	Hartigans' dip test for unimodality / multimodality	0.0154105316196035	0.9503	black or african american	GTEX	1
UNC79	292	Hartigans' dip test for unimodality / multimodality	0.0167055242428715	0.8836	black or african american	GTEX	1
UNC80	292	Hartigans' dip test for unimodality / multimodality	0.0445205479452055	3e-04	black or african american	GTEX	0.003990942293644996
UNC93B1	292	Hartigans' dip test for unimodality / multimodality	0.017929220266336	0.7983	black or african american	GTEX	1
UNC119	292	Hartigans' dip test for unimodality / multimodality	0.0181921826134287	0.7757	black or african american	GTEX	1
UNC119B	292	Hartigans' dip test for unimodality / multimodality	0.0137782224801322	0.9894	black or african american	GTEX	1
